ID,name,Food Group,Calories,Fat,Protein,Carbohydrate,Sugars,Fiber,Saturated Fat,Calcium,Iron,Potassium,Magnesium,Vitamin A,Vitamin C,Vitamin B12,Vitamin E,Phosphorus,Sodium,Zinc,Copper,Manganese,Selenium,Thiamin,Riboflavin,Niacin,Vitamin B6,Folate,Choline,Vitamin D,Vitamin K
781606,Pudding Mexican Bread,Sweets,280.0,11.5,5.06,40.98,26.57,1.3,4.284,82,1.23,125,22,19,0.4,0.05,1.37,78,231,0.54,0.098,0.0,7.7,0.10400000000000000,0.125,1.347,0.046,32,9.4,0,1.3
781623,Pudding Pumpkin,Sweets,99.0,3.07,1.21,16.85,12.14,0.3,0.792,38,0.24,117,6,98,1.6,0.1,0.51,37,101,0.18,0.041000000000000000,0.0,0.1,0.023,0.073,0.17,0.027000000000000000,4,6.2,0,1.2
781617,Pudding Rice Flour And Nuts,Sweets,142.0,3.12,3.49,25.3,15.84,0.3,1.496,92,0.53,121,13,35,0.0,0.19,0.25,82,34,0.44,0.056000000000000000,0.0,4.7,0.081,0.14300000000000000,0.5710000000000000,0.043,20,9.5,0,0.3
781620,Pudding Tapioca Chocolate Made With Milk,Sweets,112.0,2.29,3.59,21.32,17.41,1.1,1.374,113,0.49,176,25,49,0.1,0.36,0.04,106,151,0.6,0.129,0.0,3.4,0.035,0.174,0.151,0.034,5,13.4,0,0.3
781641,Pudding With Fruit And Vanilla Wafers,Sweets,149.0,3.84,3.25,26.38,18.86,0.9,1.4810000000000000,63,0.48,180,14,35,2.2,0.23,0.16,71,123,0.35,0.049,0.0,5.5,0.058000000000000000,0.166,0.557,0.134,16,29.5,0,0.9
789310,Raisins Yogurt Covered,Sweets,393.0,11.61,4.25,72.78,60.52,2.1,10.157,115,1.15,556,26,0,1.5,0.27,0.54,125,43,0.42,0.188,0.0,2.3,0.08800000000000000,0.182,0.509,0.124,6,16.9,0,6.0
167976,Semisweet Chocolate,Sweets,480.0,30.0,4.2,63.9,54.5,5.9,17.75,32,3.13,365,115,0,0.0,0.0,0.26,132,11,1.62,0.7,0.8,4.2,0.055,0.09,0.42700000000000000,0.035,13,22.0,0,5.6
170658,Soft Fruit And Nut Squares,Sweets,390.0,9.52,2.31,73.81,45.95,2.4,0.898,17,0.93,82,25,0,0.2,0.0,0.1,54,131,0.53,0.303,0.539,1.4,0.047,0.039,0.17800000000000000,0.08200000000000000,12,5.5,0,0.4
169592,Special Dark Chocolate Bar,Sweets,556.0,32.4,5.54,60.49,47.56,6.5,0.0,30,2.13,502,31,0,0.0,0.0,0.0,51,6,0.01,0.02,0.0,0.3,0.0,0.01,0.0,0.0,0,0.0,0,0.0
786315,Spicy Rice Pudding,Sweets,137.0,1.0,1.31,30.89,17.17,0.3,0.19700000000000000,22,0.87,44,7,7,0.0,0.0,0.12,19,222,0.19,0.05,0.0,2.7,0.08200000000000000,0.019,0.785,0.032,26,1.8,0,1.5
169655,Sugar,Sweets,387.0,0.0,0.0,99.98,99.8,0.0,0.0,1,0.05,2,0,0,0.0,0.0,0.0,0,1,0.01,0.007000000000000000,0.004,0.6,0.0,0.019,0.0,0.0,0,0.0,0,0.0
789129,Sugar Brown Liquid,Sweets,264.0,0.0,0.08,68.12,67.38,0.0,0.0,58,0.49,92,6,0,0.0,0.0,0.0,3,19,0.02,0.033,0.0,0.8,0.0,0.0,0.076,0.028000000000000000,1,1.6,0,0.0
